agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
712923,71570.5,0.019,932689,932689,1730678403974,false
712924,71572.0,0.023,932690,932690,1730678403974,false
712925,71572.1,0.006,932691,932691,1730678403974,false
712926,71570.5,0.071,932692,932694,1730678404110,true
712927,71538.6,0.002,932695,932695,1730678420169,true
712928,71542.4,0.001,932696,932696,1730678423724,false
712929,71542.4,0.001,932697,932697,1730678427272,false
712930,71537.5,0.001,932698,932698,1730678457761,true
712931,71529.0,0.031,932699,932699,1730678458504,true
712932,71506.7,0.076,932700,932701,1730678463070,false
712933,71500.0,0.01,932702,932702,1730678464029,true
712934,71489.1,0.001,932703,932703,1730678477932,false
712935,71486.6,0.003,932704,932704,1730678477960,false
712936,71480.5,0.003,932705,932707,1730678481050,true
712937,71479.2,0.001,932708,932708,1730678481055,true
712938,71479.3,0.005,932709,932709,1730678482287,false
712939,71481.8,0.01,932710,932710,1730678487287,false
712940,71479.2,0.005,932711,932713,1730678498075,true
712941,71481.8,0.001,932714,932714,1730678511190,false
712942,71481.8,0.03,932715,932717,1730678511377,false
712943,71514.2,0.009,932718,932718,1730678523068,false
712944,71514.2,0.016,932719,932719,1730678525736,true
712945,71502.7,0.002,932720,932720,1730678526094,false
712946,71525.7,0.002,932721,932721,1730678535642,true
712947,71512.4,0.009,932722,932724,1730678541984,true
712948,71456.1,0.009,932725,932725,1730678577287,false
712949,71456.0,0.006,932726,932727,1730678577478,true
712950,71456.0,0.133,932728,932728,1730678577964,true
712951,71454.8,0.007,932729,932730,1730678577964,true
712952,71451.1,0.009,932731,932731,1730678586300,true
712953,71451.0,0.031,932732,932732,1730678586300,true
712954,71460.7,0.001,932733,932733,1730678596211,false
712955,71454.5,0.001,932734,932734,1730678601788,true
712956,71445.0,0.031,932735,932735,1730678603028,true
712957,71435.3,0.002,932736,932736,1730678606427,true
712958,71430.4,0.001,932737,932737,1730678607626,false
712959,71432.2,0.003,932738,932738,1730678609854,false
712960,71431.6,0.003,932739,932739,1730678617287,false
712961,71435.9,0.003,932740,932740,1730678617287,false
712962,71429.6,0.001,932741,932741,1730678657913,true
712963,71434.3,0.001,932742,932742,1730678658262,false
712964,71450.6,0.007,932743,932743,1730678672515,false
712965,71451.5,0.01,932744,932744,1730678672515,false
712966,71451.6,0.009,932745,932745,1730678672515,false
712967,71451.7,0.005,932746,932746,1730678672515,false
712968,71462.3,0.002,932747,932748,1730678700890,false
712969,71453.4,0.002,932749,932749,1730678707287,false
712970,71453.5,0.008,932750,932750,1730678707287,false
712971,71472.0,0.006,932751,932751,1730678717287,false
712972,71474.8,0.003,932752,932752,1730678722633,false
712973,71454.8,0.01,932753,932754,1730678807417,true
712974,71421.4,0.009,932755,932755,1730678812287,false
712975,71422.4,0.006,932756,932756,1730678817287,false
712976,71421.0,0.001,932757,932757,1730678817395,true
712977,71414.2,0.001,932758,932758,1730678817815,true
712978,71400.0,0.006,932759,932761,1730678818726,true
712979,71400.0,0.004,932762,932763,1730678820035,true
712980,71418.9,0.001,932764,932764,1730678836082,false
712981,71419.5,0.001,932765,932765,1730678836659,false
712982,71421.5,0.007,932766,932766,1730678877287,false
712983,71424.2,0.001,932767,932767,1730678877287,false
712984,71419.7,0.001,932768,932768,1730678883646,true
712985,71410.0,0.002,932769,932769,1730678884834,false
712986,71423.7,0.001,932770,932770,1730678889638,false
712987,71419.1,0.002,932771,932771,1730678890836,true
712988,71438.9,0.002,932772,932772,1730678895937,false
712989,71438.8,0.003,932773,932773,1730678898176,false
712990,71442.8,0.002,932774,932775,1730678931782,true
712991,71417.4,0.001,932776,932776,1730678937112,false
712992,71418.6,0.003,932777,932778,1730678938071,false
712993,71433.9,0.005,932779,932779,1730678952287,false
712994,71436.6,0.001,932780,932780,1730678956378,false
712995,71436.4,0.001,932781,932781,1730678957825,false
712996,71431.8,0.001,932782,932782,1730678959912,true
712997,71403.8,0.007,932783,932783,1730678965811,false
712998,71383.4,0.001,932784,932784,1730678970951,true
712999,71378.8,0.051,932785,932786,1730678978338,true
713000,71378.6,0.027,932787,932788,1730678978338,true
713001,71377.9,0.01,932789,932789,1730678978338,true
713002,71377.8,0.027,932790,932790,1730678978338,true
713003,71386.9,0.001,932791,932791,1730678986882,false
713004,71397.2,0.005,932792,932792,1730678997287,false
713005,71400.0,0.013,932793,932793,1730679000703,false
713006,71397.4,0.007,932794,932794,1730679032287,false
713007,71397.2,0.012,932795,932797,1730679046986,true
713008,71388.4,0.01,932798,932799,1730679066199,false
713009,71392.9,0.001,932800,932800,1730679075893,false
713010,71392.9,0.002,932801,932801,1730679076031,false
713011,71396.7,0.009,932802,932802,1730679087287,false
713012,71395.7,0.003,932803,932804,1730679104949,true
713013,71395.7,0.002,932805,932806,1730679137703,false
713014,71405.6,0.003,932807,932807,1730679138037,false
713015,71375.8,0.003,932808,932808,1730679192287,false
713016,71381.0,0.001,932809,932809,1730679192287,false
713017,71378.1,0.001,932810,932810,1730679192419,false
713018,71395.5,0.008,932811,932811,1730679194956,true
713019,71394.0,0.028,932812,932813,1730679194956,true
713020,71392.7,0.007,932814,932814,1730679194956,true
713021,71390.4,0.015,932815,932815,1730679194956,true
713022,71390.3,0.041,932816,932816,1730679194956,true
713023,71388.2,0.003,932817,932817,1730679194956,true
713024,71401.9,0.001,932818,932818,1730679195513,false
713025,71400.2,0.004,932819,932819,1730679207287,false
713026,71418.4,0.002,932820,932821,1730679213433,false
713027,71418.4,0.001,932822,932822,1730679214090,false
713028,71418.4,0.019,932823,932828,1730679214670,false
713029,71439.6,0.001,932829,932829,1730679240948,true
713030,71423.2,0.002,932830,932830,1730679255946,false
713031,71423.2,0.007,932831,932831,1730679257287,false
713032,71420.9,0.002,932832,932833,1730679265537,true
713033,71451.6,0.001,932834,932834,1730679318039,false
713034,71451.5,0.003,932835,932835,1730679320298,false
713035,71481.8,0.008,932836,932836,1730679357287,false
713036,71479.2,0.001,932837,932837,1730679361362,true
713037,71475.7,0.001,932838,932838,1730679378154,false
713038,71458.8,0.006,932839,932839,1730679388561,true
713039,71378.8,0.002,932840,932840,1730679435730,false
713040,71376.4,0.001,932841,932841,1730679436348,false
713041,71376.2,0.009,932842,932842,1730679437287,false
713042,71373.6,0.003,932843,932845,1730679444629,true
713043,71368.2,0.005,932846,932847,1730679446797,true
713044,71366.2,0.007,932848,932848,1730679472636,true
713045,71390.0,0.001,932849,932849,1730679496728,false
713046,71395.6,0.01,932850,932850,1730679509450,true
713047,71360.1,0.005,932851,932851,1730679547287,false
713048,71366.2,0.004,932852,932852,1730679547287,false
713049,71358.1,0.02,932853,932855,1730679552112,true
713050,71356.9,0.001,932856,932856,1730679552130,true
713051,71354.4,0.001,932857,932857,1730679552169,true
713052,71344.4,0.002,932858,932859,1730679552330,true
713053,71343.5,0.002,932860,932860,1730679552346,true
713054,71341.9,0.002,932861,932861,1730679552464,true
713055,71328.1,0.001,932862,932862,1730679553034,true
713056,71328.0,0.002,932863,932863,1730679555615,false
713057,71362.0,0.001,932864,932864,1730679579770,true
713058,71364.8,0.002,932865,932865,1730679601941,true
713059,71363.7,0.001,932866,932866,1730679601941,true
